,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2.5879,-9.484001534,-9.374387366,-9.305862063,-9.24746881,-9.087498175,-8.977658006,-9.059025085,-9.192052716,-9.104651549,-8.979122578,-9.035445158,-9.167733954,-9.103812598,-8.978705374,-9.011528059,-9.130347569
2.6123,-9.362628778,-9.373362736,-9.313723849,-9.174439641,-9.032336762,-8.975416602,-9.027940335,-9.078911478,-9.0174878,-8.959681811,-8.995094805,-9.06469372,-9.040586129,-8.998980918,-9.033978632,-9.102622802
2.6367,-9.528797765,-9.569652113,-9.495179425,-9.37688951,-9.234029696,-9.126006569,-9.177330993,-9.288452855,-9.245063425,-9.111083611,-9.137229518,-9.254569032,-9.248460868,-9.127595814,-9.165608928,-9.314147122
2.6611,-9.468488799,-9.307295628,-9.188564854,-9.171958361,-9.111535888,-8.993421852,-8.970166855,-9.066520565,-9.098702664,-9.004544631,-8.960512655,-9.038173985,-9.070446511,-8.999274582,-8.965425376,-9.039661861
2.6855,-9.702846753,-9.572904918,-9.325031681,-9.331881965,-9.472246717,-9.418794512,-9.260333499,-9.287994318,-9.44686226,-9.426560235,-9.256529767,-9.257511981,-9.433543528,-9.446413054,-9.235976365,-9.137457612
2.71,-9.565484889,-9.56943041,-9.622454636,-9.60960163,-9.557030602,-9.532761045,-9.57909437,-9.603578425,-9.556700681,-9.513321206,-9.564688128,-9.605890229,-9.589188918,-9.573854449,-9.63858515,-9.691600101
2.7344,-9.474339376,-9.583282336,-9.692841821,-9.588390587,-9.481315847,-9.574872438,-9.675789177,-9.54435681,-9.419610608,-9.530193283,-9.664938217,-9.57109631,-9.442009549,-9.531196432,-9.682945463,-9.653151376
2.7588,-9.61789731,-9.549759822,-9.550523573,-9.574031702,-9.543325798,-9.468817435,-9.442660136,-9.459597136,-9.458943588,-9.409137109,-9.406148228,-9.458562118,-9.479912385,-9.398087744,-9.319281887,-9.297183496
2.7832,-9.633143666,-9.591260582,-9.347691342,-9.252134511,-9.30443995,-9.296100912,-9.207102103,-9.214828598,-9.304861935,-9.289716926,-9.18149878,-9.16510843,-9.242080459,-9.229053529,-9.139565841,-9.146591552
2.8076,-9.516513673,-9.479706691,-9.375430286,-9.332053077,-9.290262812,-9.215663864,-9.194559,-9.257468879,-9.279381035,-9.215838458,-9.182453367,-9.239790997,-9.260309069,-9.202045958,-9.19922777,-9.321328032
2.832,-9.755442332,-9.760713951,-9.521913606,-9.427735313,-9.455407551,-9.36464106,-9.276901663,-9.355808551,-9.452651427,-9.375275663,-9.2782814,-9.339789328,-9.446731442,-9.397362082,-9.296480601,-9.322178546
2.8564,-9.900384476,-9.6931066,-9.512262673,-9.425513196,-9.254814976,-9.118015098,-9.163394562,-9.300592791,-9.253688173,-9.11861759,-9.145011956,-9.284654513,-9.271399734,-9.135514962,-9.130257132,-9.24956889
